Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,29052023,1059242963,0002290
Trade Date <29-MAY-2023>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,182D051023,TB,900,900,100.00
20,2,182D140923,TB,200,200,100.00
20,3,182D220623,TB,2000,2000,100.00
20,4,182D220923,TB,100,100,100.00
20,5,20MICRONS,EQ,274971,122666,44.61
20,6,21STCENMGM,EQ,1549,1471,94.96
20,7,360ONE,EQ,77997,52812,67.71
20,8,364D090524,TB,5000,5000,100.00
20,9,364D091123,TB,3000,3000,100.00
20,10,364D130723,TB,13400,13400,100.00
20,11,364D231123,TB,2000,2000,100.00
20,12,3IINFOLTD,EQ,243949,142833,58.55
20,13,3MINDIA,EQ,1365,657,48.13
20,14,3PLAND,EQ,6907,4082,59.10
20,15,456GS2023,GS,73,73,100.00
20,16,577GS2030,GS,100,100,100.00
20,17,5PAISA,EQ,391743,97255,24.83
20,18,618GS2024,GS,51370,51370,100.00
20,19,619GS2034,GS,65,65,100.00
20,20,622GS2035,GS,112,112,100.00
20,21,63MOONS,EQ,116161,50419,43.40
20,22,654GS2032,GS,9700,9700,100.00
20,23,664GS2035,GS,160,160,100.00
20,24,667GS2050,GS,7513,7512,99.99
20,25,669GS2024,GS,1156,800,69.20
20,26,676GS2061,GS,4360,4360,100.00
20,27,68GS2060,GS,1,1,100.00
20,28,695GS2061,GS,5000,5000,100.00
20,29,699GS2026,GS,1300,1300,100.00
20,30,699GS2051,GS,2230,2228,99.91
20,31,706GS2028,GS,13285,12235,92.10
20,32,706GS2046,GS,500,500,100.00
20,33,710GS2029,GS,33752,31752,94.07
20,34,717GS2028,GS,1000,1000,100.00
20,35,726GS2032,GS,33876,33876,100.00
20,36,726GS2033,GS,500,500,100.00
20,37,736GS2052,GS,4002,4001,99.98
20,38,738GS2027,GS,56245,56245,100.00
20,39,741GS2036,GS,4851,4351,89.69
20,40,74GS2062,GS,481,478,99.38
20,41,754GS2036,GS,449376,442865,98.55
20,42,762MH30,SG,700,700,100.00
20,43,772GS2025,GS,399,399,100.00
20,44,772GS2055,GS,50,50,100.00
20,45,794TN32,SG,4500,4500,100.00
20,46,824GS2027,GS,5850,3000,51.28
20,47,833GS2026,GS,24450,24450,100.00
20,48,883GS2041,GS,34,34,100.00
20,49,915GS2024,GS,1000,1000,100.00
20,50,91D010623,TB,200,200,100.00
20,51,91D100823,TB,100,100,100.00
20,52,91D170823,TB,400,400,100.00
20,53,92GS2030,GS,617,617,100.00
20,54,A2ZINFRA,EQ,182021,120829,66.38
20,55,AAATECH,EQ,8270,4857,58.73
20,56,AAKASH,EQ,185970,151905,81.68
20,57,AAREYDRUGS,EQ,33044,12025,36.39
20,58,AARON,EQ,30044,16344,54.40
20,59,AARTIDRUGS,EQ,83133,39503,47.52
20,60,AARTIIND,EQ,804560,367747,45.71
20,61,AARTIPHARM,EQ,99781,49618,49.73
20,62,AARTIPP,E1,3,1,33.33
20,63,AARTISURF,EQ,5261,3588,68.20
20,64,AARTISURF,P1,1,1,100.00
20,65,AARVEEDEN,EQ,7088,5155,72.73
20,66,AARVI,EQ,201250,92251,45.84
20,67,AAVAS,EQ,219015,147305,67.26
20,68,ABAN,EQ,73018,45358,62.12
20,69,ABB,EQ,277673,174063,62.69
20,70,ABBOTINDIA,EQ,6045,2903,48.02
20,71,ABCAPITAL,EQ,1891433,790881,41.81
20,72,ABFRL,EQ,1539443,581874,37.80
20,73,ABINFRA,SM,192000,160000,83.33
20,74,ABMINTLLTD,EQ,2052,2052,100.00
20,75,ABSLAMC,EQ,28385,15695,55.29
20,76,ABSLBANETF,EQ,8334,4415,52.98
20,77,ABSLLIQUID,EQ,102,102,100.00
20,78,ABSLNN50ET,EQ,7943,7719,97.18
20,79,ACC,EQ,389902,152076,39.00
20,80,ACCELYA,EQ,33295,17880,53.70
20,81,ACCURACY,EQ,523047,394393,75.40
20,82,ACE,EQ,253590,120658,47.58
20,83,ACI,EQ,617788,314074,50.84
20,84,ACL,EQ,8415,8415,100.00
20,85,ADANIENT,EQ,2779432,679923,24.46
20,86,ADANIGREEN,EQ,3177944,2394982,75.36
20,87,ADANIPORTS,EQ,4302323,1099865,25.56
20,88,ADANIPOWER,EQ,2581847,1230126,47.65
20,89,ADANITRANS,EQ,2450856,1219089,49.74
20,90,ADFFOODS,EQ,15142,7249,47.87
20,91,ADORWELD,EQ,66417,38271,57.62
20,92,ADROITINFO,EQ,44215,19327,43.71
20,93,ADSL,EQ,314101,146501,46.64
20,94,ADVANIHOTR,EQ,56332,36212,64.28
