Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05062023,1122846937,0002319
Trade Date <05-JUN-2023>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1463,NIBL,EQ,13724,12032,87.67
20,1464,NIDAN,SM,8000,6000,75.00
20,1465,NIF100BEES,EQ,21902,18368,83.86
20,1466,NIFTYBEES,EQ,1707187,1268105,74.28
20,1467,NIFTYQLITY,EQ,14334,7247,50.56
20,1468,NIITLTD,EQ,431500,206238,47.80
20,1469,NILAINFRA,EQ,395079,210639,53.32
20,1470,NILASPACES,EQ,113088,80142,70.87
20,1471,NILKAMAL,EQ,8612,4047,46.99
20,1472,NINSYS,EQ,4760,3937,82.71
20,1473,NIPPOBATRY,EQ,2326,1265,54.39
20,1474,NIRAJ,EQ,11204,7370,65.78
20,1475,NIRMAN,SM,110400,91200,82.61
20,1476,NITCO,EQ,47543,28062,59.02
20,1477,NITINSPIN,EQ,199429,106520,53.41
20,1478,NITIRAJ,EQ,2565,1093,42.61
20,1479,NKIND,EQ,181,163,90.06
20,1480,NLCINDIA,EQ,9406014,3647364,38.78
20,1481,NMDC,EQ,7096659,3754946,52.91
20,1482,NOCIL,EQ,513642,286095,55.70
20,1483,NOIDATOLL,EQ,70278,52716,75.01
20,1484,NORBTEAEXP,EQ,3490,2901,83.12
20,1485,NOVARTIND,EQ,26816,15393,57.40
20,1486,NPBET,EQ,8013,8003,99.88
20,1487,NPST,SM,7600,6000,78.95
20,1488,NRAIL,EQ,29749,22497,75.62
20,1489,NRBBEARING,EQ,748462,361168,48.25
20,1490,NRL,EQ,107307,66306,61.79
20,1491,NSIL,EQ,1468,806,54.90
20,1492,NSLNISP,EQ,4413628,3041717,68.92
20,1493,NTPC,EQ,12239684,7759583,63.40
20,1494,NTPC,N2,5,5,100.00
20,1495,NTPC,N5,1,1,100.00
20,1496,NTPC,N7,59192,56678,95.75
20,1497,NUCLEUS,EQ,261354,78091,29.88
20,1498,NURECA,EQ,686652,108773,15.84
20,1499,NUVOCO,EQ,287140,128017,44.58
20,1500,NV20BEES,EQ,16234,9813,60.45
20,1501,NXST,RR,1928051,1876248,97.31
20,1502,NYKAA,EQ,19609128,6608433,33.70
20,1503,OAL,EQ,10673,4894,45.85
20,1504,OBCL,EQ,36360,25359,69.74
20,1505,OBEROIRLTY,EQ,457416,230668,50.43
20,1506,OCCL,EQ,11276,7643,67.78
20,1507,OFSS,EQ,58938,27754,47.09
20,1508,OIL,EQ,1673476,1114462,66.60
20,1509,OILCOUNTUB,EQ,135444,99697,73.61
20,1510,OLECTRA,EQ,3562803,786579,22.08
20,1511,OMAXE,EQ,144437,95267,65.96
20,1512,OMFURN,SM,4000,4000,100.00
20,1513,OMINFRAL,EQ,147640,100480,68.06
20,1514,ONELIFECAP,EQ,156913,107978,68.81
20,1515,ONEPOINT,EQ,609997,333498,54.67
20,1516,ONGC,EQ,11850547,6602877,55.72
20,1517,ONMOBILE,EQ,836119,239013,28.59
20,1518,ONWARDTEC,EQ,258338,59993,23.22
20,1519,OPTIEMUS,EQ,195154,115490,59.18
20,1520,ORBTEXP,EQ,21131,12708,60.14
20,1521,ORICONENT,EQ,227362,175474,77.18
20,1522,ORIENTABRA,EQ,40953,28617,69.88
20,1523,ORIENTALTL,EQ,50223,26676,53.12
20,1524,ORIENTBELL,EQ,6614,3797,57.41
20,1525,ORIENTCEM,EQ,1619588,1023642,63.20
20,1526,ORIENTELEC,EQ,132585,66237,49.96
20,1527,ORIENTHOT,EQ,687839,307381,44.69
20,1528,ORIENTLTD,EQ,3470,2520,72.62
20,1529,ORIENTPPR,EQ,851210,461381,54.20
20,1530,ORISSAMINE,EQ,2900,2030,70.00
20,1531,ORTINLAB,EQ,10880,7182,66.01
20,1532,OSIAHYPER,EQ,265154,76985,29.03
20,1533,OSWALAGRO,EQ,68833,39706,57.68
20,1534,OSWALGREEN,EQ,112992,92726,82.06
20,1535,OSWALSEEDS,EQ,25487,7999,31.38
20,1536,PAGEIND,EQ,48171,29233,60.69
20,1537,PAISALO,EQ,308378,201572,65.37
20,1538,PALASHSECU,EQ,2166,1533,70.78
20,1539,PALREDTEC,EQ,26475,20275,76.58
20,1540,PANACEABIO,EQ,163078,102820,63.05
20,1541,PANACHE,EQ,6987,6047,86.55
20,1542,PANAMAPET,EQ,145501,83174,57.16
20,1543,PANSARI,EQ,1635,1572,96.15
20,1544,PAR,EQ,24446,15565,63.67
20,1545,PARACABLES,EQ,639079,416822,65.22
20,1546,PARADEEP,EQ,832848,480938,57.75
20,1547,PARAGMILK,EQ,481278,189398,39.35
20,1548,PARAS,EQ,1829911,405751,22.17
20,1549,PARSVNATH,EQ,3069682,1787864,58.24
20,1550,PARTYCRUS,SM,72000,54000,75.00
20,1551,PASHUPATI,SM,1600,1600,100.00
20,1552,PASUPTAC,EQ,38206,27710,72.53
20,1553,PATINTLOG,EQ,318138,194533,61.15
20,1554,PATTECH,SM,24000,12000,50.00
20,1555,PAVNAIND,EQ,1895,1418,74.83
20,1556,PAYTM,EQ,3886959,2272001,58.45
20,1557,PCBL,EQ,1173187,587297,50.06
20,1558,PCHFL,N2,20,20,100.00
20,1559,PCHFL,N5,1790,900,50.28
20,1560,PCJEWELLER,EQ,828016,564926,68.23
20,1561,PDMJEPAPER,EQ,171056,109644,64.10
20,1562,PDSL,EQ,110331,74136,67.19
20,1563,PEARLPOLY,EQ,40818,31253,76.57
20,1564,PEL,EQ,991853,446564,45.02
20,1565,PENIND,EQ,1590259,786254,49.44
20,1566,PENINLAND,EQ,1963223,1460958,74.42
20,1567,PERFECT,SM,30000,18000,60.00
20,1568,PERSISTENT,EQ,106367,28569,26.86
20,1569,PETRONET,EQ,1672398,1195162,71.46
20,1570,PFC,EQ,15595565,6446172,41.33
20,1571,PFC,N3,598,580,96.99
20,1572,PFC,N5,117,117,100.00
20,1573,PFC,N6,23,23,100.00
20,1574,PFC,N8,893,891,99.78
20,1575,PFIZER,EQ,46434,15453,33.28
20,1576,PFOCUS,EQ,786468,490201,62.33
20,1577,PFS,EQ,2423150,1624725,67.05
20,1578,PGEL,EQ,24612,11586,47.07
20,1579,PGHH,EQ,8247,5158,62.54
20,1580,PGHL,EQ,11620,7845,67.51
20,1581,PGIL,EQ,101563,42752,42.09
20,1582,PGINVIT,IV,451021,415192,92.06
20,1583,PHANTOMFX,SM,54600,36600,67.03
20,1584,PHARMABEES,EQ,5715278,4820153,84.34
20,1585,PHOENIXLTD,EQ,309531,259978,83.99
20,1586,PIDILITIND,EQ,115456,59948,51.92
20,1587,PIGL,EQ,41321,36293,87.83
20,1588,PIIND,EQ,161528,83656,51.79
20,1589,PILANIINVS,EQ,3056,2314,75.72
20,1590,PILITA,EQ,432683,367067,84.84
20,1591,PIONEEREMB,EQ,13749,7462,54.27
20,1592,PITTIENG,EQ,537076,224119,41.73
20,1593,PIXTRANS,EQ,44243,25165,56.88
20,1594,PLASTIBLEN,EQ,15570,9294,59.69
20,1595,PNB,EQ,19034598,6527839,34.29
20,1596,PNBGILTS,EQ,272636,155751,57.13
20,1597,PNBHOUSING,EQ,809407,315507,38.98
20,1598,PNC,EQ,195320,64368,32.96
20,1599,PNCINFRA,EQ,487186,333643,68.48
20,1600,POCL,EQ,144041,50294,34.92
20,1601,PODDARHOUS,EQ,6757,4926,72.90
20,1602,PODDARMENT,EQ,8090,5582,69.00
20,1603,POKARNA,EQ,58019,40449,69.72
20,1604,POLICYBZR,EQ,2819384,2123409,75.31
20,1605,POLYCAB,EQ,389947,210149,53.89
20,1606,POLYMED,EQ,14330,7685,53.63
20,1607,POLYPLEX,EQ,117212,65799,56.14
20,1608,PONNIERODE,EQ,50244,22034,43.85
20,1609,POONAWALLA,EQ,656758,385385,58.68
20,1610,POWERGRID,EQ,20571227,17254948,83.88
20,1611,POWERINDIA,EQ,16055,7349,45.77
20,1612,POWERMECH,EQ,25518,12039,47.18
20,1613,PPAP,EQ,12630,9123,72.23
20,1614,PPL,EQ,67700,35974,53.14
20,1615,PPLPHARMA,EQ,26451783,10303350,38.95
20,1616,PRAENG,EQ,72846,47842,65.68
20,1617,PRAJIND,EQ,1277542,864396,67.66
20,1618,PRAKASH,EQ,584243,338786,57.99
20,1619,PRAKASHSTL,EQ,265613,176588,66.48
20,1620,PRAXIS,EQ,176303,131862,74.79
20,1621,PRECAM,EQ,994543,332803,33.46
20,1622,PRECISION,SM,14000,12000,85.71
20,1623,PRECOT,EQ,1759,1029,58.50
20,1624,PRECWIRE,EQ,320629,177389,55.33
20,1625,PREMEXPLN,EQ,11121,7958,71.56
20,1626,PREMIERPOL,EQ,41311,30592,74.05
20,1627,PRESSMN,EQ,291926,185481,63.54
20,1628,PRESTIGE,EQ,1404144,634973,45.22
20,1629,PRICOLLTD,EQ,2995286,1116240,37.27
20,1630,PRIMESECU,EQ,13715,10960,79.91
20,1631,PRINCEPIPE,EQ,152701,59244,38.80
20,1632,PRITI,EQ,128336,67820,52.85
20,1633,PRITIKA,SM,16000,12000,75.00
20,1634,PRITIKAUTO,EQ,245340,208562,85.01
20,1635,PRIVISCL,EQ,15640,10961,70.08
20,1636,PROLIFE,SM,9500,7500,78.95
20,1637,PROPEQUITY,SM,13200,10800,81.82
20,1638,PROV,ST,173280,173280,100.00
20,1639,PROZONINTU,EQ,513719,315413,61.40
20,1640,PRSMJOHNSN,EQ,112466,70436,62.63
20,1641,PRUDENT,EQ,23737,15108,63.65
20,1642,PSB,EQ,1479321,457975,30.96
20,1643,PSPPROJECT,EQ,356665,137437,38.53
20,1644,PSUBANKICI,EQ,6269,4051,64.62
20,1645,PSUBNKBEES,EQ,798411,473635,59.32
20,1646,PTC,EQ,1410744,833242,59.06
20,1647,PTL,EQ,42819,31040,72.49
20,1648,PULZ,SM,18000,18000,100.00
20,1649,PUNJABCHEM,EQ,14390,9091,63.18
20,1650,PURVA,EQ,175835,90519,51.48
20,1651,PVP,EQ,873435,450027,51.52
20,1652,PVRINOX,EQ,907532,450518,49.64
20,1653,QFIL,SM,12000,8000,66.67
20,1654,QGOLDHALF,EQ,33990,26075,76.71
20,1655,QMSMEDI,SM,32000,26000,81.25
20,1656,QNIFTY,EQ,1522,1416,93.04
20,1657,QUADPRO,SM,48000,36000,75.00
20,1658,QUESS,EQ,790947,297036,37.55
20,1659,QUICKHEAL,EQ,90948,53965,59.34
20,1660,QUICKTOUCH,SM,78000,52000,66.67
20,1661,RACE,EQ,165671,90160,54.42
20,1662,RADHIKAJWE,EQ,108051,77492,71.72
20,1663,RADIANTCMS,EQ,225300,143120,63.52
20,1664,RADICO,EQ,156579,63952,40.84
20,1665,RADIOCITY,EQ,234895,115938,49.36
20,1666,RADIOCITY,P1,22853,22853,100.00
20,1667,RAILTEL,EQ,677335,299941,44.28
20,1668,RAIN,EQ,4699334,1401716,29.83
20,1669,RAINBOW,EQ,128807,79925,62.05
20,1670,RAJESHEXPO,EQ,1176404,278392,23.66
20,1671,RAJMET,EQ,268884,162254,60.34
20,1672,RAJRATAN,EQ,45173,33998,75.26
20,1673,RAJSREESUG,EQ,64785,40093,61.89
20,1674,RAJTV,EQ,13925,9503,68.24
20,1675,RALLIS,EQ,384856,259910,67.53
20,1676,RAMANEWS,EQ,25800,13610,52.75
20,1677,RAMAPHO,EQ,78318,32549,41.56
20,1678,RAMASTEEL,EQ,5131441,1927113,37.56
20,1679,RAMCOCEM,EQ,150261,48096,32.01
20,1680,RAMCOIND,EQ,141705,80194,56.59
20,1681,RAMCOSYS,EQ,225169,82598,36.68
20,1682,RAMKY,EQ,76227,51322,67.33
20,1683,RAMRAT,EQ,130699,76431,58.48
20,1684,RANASUG,EQ,906219,479817,52.95
20,1685,RANEHOLDIN,EQ,12735,8845,69.45
20,1686,RATEGAIN,EQ,997329,362549,36.35
20,1687,RATNAMANI,EQ,32857,23899,72.74
20,1688,RAYMOND,EQ,115577,62487,54.07
20,1689,RBA,EQ,1527952,811081,53.08
20,1690,RBL,EQ,18560,12056,64.96
20,1691,RBLBANK,EQ,10269611,2121039,20.65
20,1692,RBMINFRA,SM,48000,30000,62.50
20,1693,RCF,EQ,4271499,1838656,43.04
20,1694,RECLTD,EQ,10772251,5179492,48.08
20,1695,RECLTD,N2,38,38,100.00
20,1696,RECLTD,N5,2,1,50.00
20,1697,RECLTD,N8,27,27,100.00
20,1698,RECLTD,NE,36,36,100.00
20,1699,RECLTD,NF,300,300,100.00
20,1700,RECLTD,NH,5,5,100.00
20,1701,REDINGTON,EQ,1226012,669043,54.57
20,1702,REFEX,EQ,187985,105464,56.10
20,1703,RELAXO,EQ,197850,96842,48.95
20,1704,RELCHEMQ,EQ,2498,1353,54.16
20,1705,RELIANCE,EQ,5034355,3413545,67.81
20,1706,RELIGARE,EQ,633707,431873,68.15
20,1707,RELINFRA,EQ,1402403,676068,48.21
20,1708,REMSONSIND,EQ,5888,4074,69.19
20,1709,REMUS,ST,2300,2300,100.00
20,1710,RENUKA,EQ,14774136,6447262,43.64
20,1711,REPCOHOME,EQ,812188,327858,40.37
20,1712,REPL,EQ,17763,10921,61.48
20,1713,REPRO,EQ,40586,25431,62.66
20,1714,RESPONIND,EQ,237021,20370,8.59
20,1715,REVATHI,EQ,12486,8074,64.66
20,1716,REXPIPES,SM,56000,48000,85.71
20,1717,RGL,EQ,72421,19740,27.26
20,1718,RHFL,EQ,641589,641589,100.00
20,1719,RHIM,EQ,177691,100723,56.68
20,1720,RHL,EQ,16236,8688,53.51
20,1721,RICOAUTO,EQ,4991084,2142092,42.92
20,1722,RIIL,EQ,322427,94131,29.19
20,1723,RILINFRA,SM,300,300,100.00
20,1724,RITCO,EQ,9476,6358,67.10
20,1725,RITES,EQ,244514,134307,54.93
20,1726,RITEZONE,SM,9600,9600,100.00
20,1727,RKEC,EQ,68792,46534,67.64
20,1728,RKFORGE,EQ,364413,161457,44.31
20,1729,RMDRIP,SM,8000,6000,75.00
20,1730,RML,EQ,68344,30780,45.04
20,1731,ROHLTD,EQ,238551,118712,49.76
20,1732,ROLEXRINGS,EQ,24426,13235,54.18
20,1733,ROLLT,EQ,235752,184588,78.30
20,1734,ROML,EQ,5800,4154,71.62
20,1735,ROSSARI,EQ,1887061,197587,10.47
20,1736,ROSSELLIND,EQ,120466,58094,48.22
20,1737,ROTO,EQ,84933,47077,55.43
