Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30052023,954498727,0002293
Trade Date <30-MAY-2023>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1018GS2026,GS,1950,1950,100.00
20,2,182D030823,TB,2500,2500,100.00
20,3,182D051023,TB,1000,1000,100.00
20,4,182D121023,TB,3000,3000,100.00
20,5,182D220623,TB,100,100,100.00
20,6,182D290923,TB,200,200,100.00
20,7,20MICRONS,EQ,116069,63538,54.74
20,8,21STCENMGM,EQ,5616,4418,78.67
20,9,360ONE,EQ,334526,269652,80.61
20,10,364D110424,TB,1200,1200,100.00
20,11,364D121023,TB,15400,15400,100.00
20,12,364D191023,TB,15400,15400,100.00
20,13,364D220623,TB,4000,2000,50.00
20,14,3IINFOLTD,EQ,274108,178364,65.07
20,15,3MINDIA,EQ,12792,3895,30.45
20,16,3PLAND,EQ,11256,6926,61.53
20,17,579GS2030,GS,150,100,66.67
20,18,5PAISA,EQ,90217,38366,42.53
20,19,618GS2024,GS,8,8,100.00
20,20,63MOONS,EQ,98222,66171,67.37
20,21,654GS2032,GS,18501,11001,59.46
20,22,667GS2035,GS,501,501,100.00
20,23,667GS2050,GS,2760,2760,100.00
20,24,669GS2024,GS,5357,4357,81.33
20,25,676GS2061,GS,2500,2500,100.00
20,26,689GS2025,GS,300,300,100.00
20,27,695GS2061,GS,5000,5000,100.00
20,28,699GS2051,GS,109,109,100.00
20,29,706GS2028,GS,6900,6800,98.55
20,30,710GS2029,GS,144712,144712,100.00
20,31,717GS2030,GS,11603,11601,99.98
20,32,719GS2060,GS,108,108,100.00
20,33,726GS2029,GS,100,100,100.00
20,34,726GS2032,GS,61109,55700,91.15
20,35,726GS2033,GS,200700,200000,99.65
20,36,727GS2026,GS,200,200,100.00
20,37,736GS2052,GS,8422,7422,88.13
20,38,738GS2027,GS,60667,60667,100.00
20,39,741GS2036,GS,7600,7600,100.00
20,40,74GS2062,GS,12,6,50.00
20,41,754GS2036,GS,274982,274582,99.85
20,42,75AP28,SG,500,500,100.00
20,43,824GS2033,GS,1000,1000,100.00
20,44,883GS2041,GS,16,16,100.00
20,45,897GS2030,GS,40,20,50.00
20,46,915GS2024,GS,750,750,100.00
20,47,91D030823,TB,200,200,100.00
20,48,91D060723,TB,100,100,100.00
20,49,91D080623,TB,100,100,100.00
20,50,91D130723,TB,100,100,100.00
20,51,91D150623,TB,24700,20100,81.38
20,52,92GS2030,GS,1714,1714,100.00
20,53,A2ZINFRA,EQ,2288623,1156307,50.52
20,54,AAATECH,EQ,70286,62307,88.65
20,55,AAKASH,EQ,199246,167189,83.91
20,56,AAREYDRUGS,EQ,34841,18207,52.26
20,57,AARON,EQ,28734,19740,68.70
20,58,AARTIDRUGS,EQ,64846,23254,35.86
20,59,AARTIIND,EQ,443308,206549,46.59
20,60,AARTIPHARM,EQ,98845,51924,52.53
20,61,AARTIPP,E1,258,236,91.47
20,62,AARTISURF,EQ,3051,2047,67.09
20,63,AARTISURF,P1,100,100,100.00
20,64,AARVEEDEN,EQ,2413,1446,59.93
20,65,AARVI,EQ,92739,41667,44.93
20,66,AAVAS,EQ,157105,105328,67.04
20,67,ABAN,EQ,85500,51859,60.65
20,68,ABB,EQ,179306,85726,47.81
20,69,ABBOTINDIA,EQ,6888,3584,52.03
20,70,ABCAPITAL,EQ,5661479,2402128,42.43
20,71,ABFRL,EQ,5270622,2476447,46.99
20,72,ABINFRA,SM,52000,48000,92.31
20,73,ABMINTLLTD,EQ,6298,4021,63.85
20,74,ABSLAMC,EQ,46402,28081,60.52
20,75,ABSLBANETF,EQ,8954,5376,60.04
20,76,ABSLLIQUID,EQ,100,100,100.00
20,77,ABSLNN50ET,EQ,4884,3415,69.92
20,78,ACC,EQ,345429,131103,37.95
20,79,ACCELYA,EQ,99175,28072,28.31
20,80,ACCURACY,EQ,872858,684538,78.42
20,81,ACE,EQ,318836,172168,54.00
20,82,ACI,EQ,186063,117875,63.35
20,83,ACL,EQ,2371,2371,100.00
20,84,ADANIENT,EQ,1736953,435183,25.05
20,85,ADANIGREEN,EQ,2694114,1840305,68.31
