Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,31052023,2177094669,0002281
Trade Date <31-MAY-2023>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2190,VENUSPIPES,EQ,228141,99654,43.68
20,2191,VENUSREM,EQ,615938,238736,38.76
20,2192,VERANDA,EQ,128515,71440,55.59
20,2193,VERTEXPLUS,SM,10800,9600,88.89
20,2194,VERTOZ,EQ,184772,34528,18.69
20,2195,VESUVIUS,EQ,11994,5018,41.84
20,2196,VETO,EQ,461687,283794,61.47
20,2197,VGUARD,EQ,283067,117416,41.48
20,2198,VHL,EQ,211,96,45.50
20,2199,VIAZ,SM,8000,4000,50.00
20,2200,VIDHIING,EQ,22980,16522,71.90
20,2201,VIJAYA,EQ,210643,111657,53.01
20,2202,VIJIFIN,EQ,69478,49391,71.09
20,2203,VIKASECO,EQ,2425675,1472195,60.69
20,2204,VIKASLIFE,EQ,7805782,3507618,44.94
20,2205,VIMTALABS,EQ,16938,7142,42.17
20,2206,VINATIORGA,EQ,33103,24880,75.16
20,2207,VINDHYATEL,EQ,12246,7945,64.88
20,2208,VINEETLAB,EQ,10259,4829,47.07
20,2209,VINNY,EQ,396434,244579,61.69
20,2210,VINYLINDIA,EQ,78461,31104,39.64
20,2211,VIPCLOTHNG,EQ,202952,119957,59.11
20,2212,VIPIND,EQ,242041,197772,81.71
20,2213,VIPULLTD,EQ,13069,11219,85.84
20,2214,VIRINCHI,EQ,801288,579432,72.31
20,2215,VISAKAIND,EQ,62826,46915,74.67
20,2216,VISESHINFO,EQ,4617248,2591516,56.13
20,2217,VISHAL,EQ,88735,67916,76.54
20,2218,VISHNU,EQ,61250,35572,58.08
20,2219,VISHWARAJ,EQ,1865202,556617,29.84
20,2220,VITAL,SM,43200,26400,61.11
20,2221,VIVIANA,SM,80000,58000,72.50
20,2222,VIVIDHA,EQ,649583,421623,64.91
20,2223,VIVO,SM,1600,1600,100.00
20,2224,VLSFINANCE,EQ,20495,13722,66.95
20,2225,VMARCIND,SM,93000,78000,83.87
20,2226,VMART,EQ,43060,32943,76.50
20,2227,VOLTAMP,EQ,65381,27263,41.70
20,2228,VOLTAS,EQ,805009,536871,66.69
20,2229,VRLLOG,EQ,146140,87891,60.14
20,2230,VSSL,EQ,31953,16552,51.80
20,2231,VSTIND,EQ,4377,2858,65.30
20,2232,VSTTILLERS,EQ,16572,10679,64.44
20,2233,VTL,EQ,310224,227781,73.42
20,2234,WABAG,EQ,372560,159505,42.81
20,2235,WALCHANNAG,EQ,166260,93689,56.35
20,2236,WALPAR,SM,2000,2000,100.00
20,2237,WATERBASE,EQ,27664,20149,72.83
20,2238,WEALTH,EQ,41,29,70.73
20,2239,WEBELSOLAR,EQ,91600,63324,69.13
20,2240,WEIZMANIND,EQ,20593,9539,46.32
20,2241,WEL,EQ,1931,1067,55.26
20,2242,WELCORP,EQ,4447603,2119470,47.65
20,2243,WELENT,EQ,1710177,1402370,82.00
20,2244,WELINV,EQ,4529,3704,81.78
20,2245,WELSPUNIND,EQ,3403300,1267162,37.23
20,2246,WENDT,EQ,706,534,75.64
20,2247,WESTLIFE,EQ,151573,96136,63.43
20,2248,WEWIN,EQ,4388,2065,47.06
20,2249,WHEELS,EQ,38835,22904,58.98
20,2250,WHIRLPOOL,EQ,28574,15336,53.67
20,2251,WILLAMAGOR,EQ,12346,10175,82.42
20,2252,WINDLAS,EQ,15072,10206,67.71
20,2253,WINDMACHIN,EQ,228690,136405,59.65
20,2254,WIPRO,EQ,5891791,3584932,60.85
20,2255,WOCKPHARMA,EQ,277924,139953,50.36
20,2256,WONDERLA,EQ,176835,97469,55.12
20,2257,WORTH,EQ,15594,10616,68.08
20,2258,WSTCSTPAPR,EQ,202834,104140,51.34
20,2259,XCHANGING,EQ,77557,44135,56.91
20,2260,XELPMOC,EQ,17982,17977,99.97
20,2261,XPROINDIA,EQ,22884,13851,60.53
20,2262,YAARI,EQ,256757,127563,49.68
20,2263,YESBANK,EQ,223440763,113223412,50.67
20,2264,YUKEN,EQ,18496,14747,79.73
20,2265,ZEEL,EQ,9334255,3469725,37.17
